,Marca,Processador,Memória RAM (GB),Disco Rígido (TB),Disco Rígido SSD (MB),Placa Gráfica (GB),Valor Médio
0,Lenovo,i5,4,1,0,0,"3,700.00"
1,Lenovo,i3,4,1,0,0,"2,700.00"
2,Lenovo,i3,4,0,120,0,"3,500.00"
3,Lenovo,Ryzen 3,8,0,256,0,"3,100.00"
4,Acer,i5,4,1,128,0,"3,500.50"
5,Acer,i3,4,0,256,0,"3,000.00"
6,Acer,i3,4,1,0,0,"2,900.00"
7,Acer,i5,4,0,256,0,"3,000.00"
8,Lenovo,i7,8,1,0,2,"4,200.00"
9,Lenovo,i5,8,1,0,0,"4,250.00"
10,Acer,Ryzen 5,12,1,0,0,"4,300.00"
11,Lenovo,Ryzen 5,8,1,0,0,"3,700.00"
12,Lenovo,i7,12,0,256,2,"5,589.00"
13,Acer,i5,8,0,256,2,"4,050.00"
14,Acer,i5,8,1,128,0,"4,199.99"
15,Acer,Ryzen 5,8,1,0,2,"4,500.00"
16,Acer,Ryzen 5,8,1,128,2,"4,600.00"
17,Lenovo,i5,8,0,256,0,"5,800.00"
18,Lenovo,Ryzen 7,8,0,256,0,"4,700.00"
19,Acer,Ryzen 7,8,0,256,2,"4,999.00"
20,Acer,Ryzen 7,12,0,512,2,"4,125.00"
21,Acer,i5,8,0,512,2,"3,850.00"
22,Lenovo,i5,8,0,256,2,"3,850.00"
23,Acer,i5,8,1,128,0,"4,200.00"
24,Lenovo,i5,8,1,0,2,"4,000.50"
25,Acer,i7,8,1,0,0,"4500.00"
